Genus,Count,Weight
Abramis,300,5.142142857142857
Abudefduf,4924,0.31329058837182316
Acanthochromis,107,14.417222963951936
Acrossocheilus,454,3.3978917558212713
Alburnus,252,6.121598639455782
Ambloplites,1448,1.065361089187056
Amblyglyphidodon,506,3.0487012987012987
Amphiprion,3102,0.49730588560375794
Barbus,120,12.855357142857143
Campostoma,725,2.127783251231527
Candidia,122,12.644613583138174
Carassius,1502,1.027059159216283
Centrarchus,282,5.470364741641338
Chromis,2263,0.6816804494665741
Chrosomus,689,2.238959154053494
Chrysiptera,206,7.488557558945908
Clinostomus,229,6.7364316905801624
Ctenopharyngodon,494,3.1227588201272414
Cyprinella,1218,1.2665376495425757
Cyprinus,6954,0.22183532601996794
Dascyllus,1593,0.9683884853376379
Enneacanthus,109,14.152686762778506
Gobio,157,9.825750682438581
Hesperoleucus,74,20.846525096525095
Hypophthalmichthys,106,14.553234501347708
Hypsypops,676,2.282016060862215
Lepomis,22205,0.0694727699681539
Luxilus,1411,1.0932975599878505
Mecaenichthys,360,4.285119047619047
Micropterus,12481,0.12359929950667872
Microspathodon,903,1.7083531086853345
Neoglyphidodon,245,6.296501457725948
Neopomacentrus,111,13.897683397683398
Nocomis,992,1.555083525345622
Notemigonus,925,1.6677220077220076
Notropis,816,1.8904936974789917
Opsariichthys,526,2.9327810972297663
Parazacco,210,7.345918367346939
Parma,1376,1.1211067275747508
Phoxinus,374,4.124713521772345
Pimephales,1509,1.022294802612894
Plectroglyphidodon,312,4.944368131868132
Pomacentrus,1141,1.3520095154626268
Pomoxis,2029,0.7602971203266915
Premnas,274,5.630083420229406
Pseudorasbora,174,8.86576354679803
Ptychocheilus,144,10.712797619047619
Rhinichthys,1693,0.9111889292042865
Rutilus,541,2.851465540005281
Scardinius,569,2.7111473763494853
Semotilus,2892,0.5334173088322466
Squalius,1047,1.4733933688088416
Stegastes,1539,1.0023670286828181
Systomus,587,2.6280116816743733
Telestes,144,10.712797619047619
Tinca,246,6.270905923344948
