Specie,Count,Weight
Abramis brama,300,1.9997222222222222
Abudefduf abdominalis,177,3.3893596986817327
Abudefduf bengalensis,299,2.0064102564102564
Abudefduf saxatilis,1423,0.4215858514874678
Abudefduf septemfasciatus,128,4.686848958333333
Abudefduf sexfasciatus,725,0.827471264367816
Abudefduf sordidus,533,1.1255472170106315
Abudefduf troschelii,502,1.1950531208499335
Abudefduf vaigiensis,1137,0.5276311931984755
Acanthochromis polyacanthus,107,5.6066978193146415
Acrossocheilus paradoxus,454,1.3214023494860498
Alburnus alburnus,215,2.7903100775193797
Alburnus arborella,37,16.213963963963963
Ambloplites rupestris,1448,0.4143070902394107
Amblyglyphidodon aureus,173,3.4677263969171483
Amblyglyphidodon curacao,239,2.5101115760111576
Amblyglyphidodon leucogaster,94,6.38209219858156
Amphiprion bicinctus,252,2.380621693121693
Amphiprion chrysopterus,162,3.703189300411523
Amphiprion clarkii,1142,0.5253210741389376
Amphiprion frenatus,155,3.870430107526882
Amphiprion melanopus,288,2.0830439814814814
Amphiprion ocellaris,514,1.167153047989624
Amphiprion percula,87,6.895593869731801
Amphiprion perideraion,408,1.4703839869281046
Amphiprion polymnus,94,6.38209219858156
Barbus barbus,89,6.74063670411985
Barbus plebejus,31,19.352150537634408
Campostoma anomalum,725,0.827471264367816
Candidia barbata,122,4.9173497267759565
Carassius auratus,1240,0.48380376344086023
Carassius gibelio,262,2.2897582697201018
Centrarchus macropterus,282,2.1273640661938535
Chromis atripectoralis,153,3.9210239651416123
Chromis chromis,572,1.0488053613053614
Chromis cyanea,255,2.3526143790849674
Chromis hypsilepis,325,1.8458974358974358
Chromis margaritifer,118,5.084039548022599
Chromis multilineata,164,3.658028455284553
Chromis notata,59,10.168079096045197
Chromis punctipinnis,136,4.411151960784314
Chromis ternatensis,97,6.184707903780069
Chromis viridis,384,1.5622829861111112
Chrosomus eos,548,1.0947384428223845
Chrosomus erythrogaster,141,4.254728132387707
Chrysiptera brownriggii,96,6.249131944444445
Chrysiptera taupou,110,5.453787878787879
Clinostomus funduloides,229,2.6197234352256187
Ctenopharyngodon idella,494,1.2144062078272604
Cyprinella lutrensis,421,1.4249802058590657
Cyprinella spiloptera,269,2.230173482032218
Cyprinella venusta,528,1.1362058080808082
Cyprinus carpio,5385,0.11140513772825751
Cyprinus rubrofuscus,1569,0.3823560654344593
Dascyllus abudafur,136,4.411151960784314
Dascyllus albisella,140,4.285119047619047
Dascyllus aruanus,322,1.8630952380952381
Dascyllus reticulatus,306,1.9605119825708062
Dascyllus trimaculatus,689,0.8707063376874697
Enneacanthus gloriosus,109,5.503822629969419
Gobio gobio,157,3.8211252653927814
Hesperoleucus symmetricus,74,8.106981981981981
Hypophthalmichthys molitrix,106,5.659591194968553
Hypsypops rubicundus,676,0.8874506903353058
Lepomis auritus,1593,0.3765955220757481
Lepomis cyanellus,3489,0.17194516098213433
Lepomis gibbosus,2960,0.20267454954954955
Lepomis gulosus,923,0.6499638858793788
Lepomis humilis,150,3.9994444444444444
Lepomis macrochirus,9145,0.06560051029706579
Lepomis marginatus,297,2.019921436588103
Lepomis megalotis,2158,0.27799660179178254
Lepomis microlophus,898,0.6680586488492948
Lepomis miniatus,171,3.5082846003898633
Lepomis peltastes,141,4.254728132387707
Lepomis punctatus,280,2.1425595238095236
Luxilus chrysocephalus,568,1.0561913145539905
Luxilus cornutus,843,0.7116449189402926
Mecaenichthys immaculatus,360,1.666435185185185
Micropterus dolomieu,2922,0.20531028975587498
Micropterus floridanus,354,1.6946798493408664
Micropterus henshalli,82,7.316056910569106
Micropterus punctulatus,376,1.59552304964539
Micropterus salmoides,8402,0.07140165040069825
Micropterus treculii,345,1.738888888888889
Microspathodon chrysurus,506,1.1856060606060606
Microspathodon dorsalis,397,1.5111251049538204
Neoglyphidodon melas,127,4.723753280839895
Neoglyphidodon nigroris,118,5.084039548022599
Neopomacentrus bankieri,65,9.22948717948718
Neopomacentrus cyanomos,46,13.041666666666666
Nocomis biguttatus,397,1.5111251049538204
Nocomis leptocephalus,304,1.9734100877192982
Nocomis micropogon,291,2.0615693012600227
Notemigonus crysoleucas,925,0.6485585585585586
Notropis atherinoides,163,3.680470347648262
Notropis hudsonius,221,2.714555052790347
Notropis rubellus,180,3.33287037037037
Notropis stramineus,122,4.9173497267759565
Notropis volucellus,130,4.61474358974359
Opsariichthys pachycephalus,526,1.1405259822560203
Parazacco spilurus,210,2.856746031746032
Parma microlepis,632,0.9492352320675106
Parma unifasciata,304,1.9734100877192982
Parma victoriae,440,1.3634469696969698
Phoxinus phoxinus,374,1.6040552584670231
Pimephales notatus,692,0.8669315992292871
Pimephales promelas,547,1.0967397928092626
Pimephales vigilax,270,2.2219135802469134
Plectroglyphidodon dickii,107,5.6066978193146415
Plectroglyphidodon lacrymatus,205,2.926422764227642
Pomacentrus bankanensis,123,4.877371273712737
Pomacentrus coelestis,384,1.5622829861111112
Pomacentrus moluccensis,305,1.9669398907103826
Pomacentrus pavo,116,5.171695402298851
Pomacentrus sulfureus,112,5.356398809523809
Pomacentrus vaiuli,101,5.93976897689769
Pomoxis annularis,575,1.0433333333333332
Pomoxis nigromaculatus,1454,0.41259743237047225
Premnas biaculeatus,274,2.189476885644769
Pseudorasbora parva,174,3.4477969348659006
Ptychocheilus oregonensis,144,4.166087962962963
Rhinichthys atratulus,867,0.6919454056132257
Rhinichthys cataractae,457,1.312727935813275
Rhinichthys obtusus,237,2.531293952180028
Rhinichthys osculus,132,4.544823232323233
Rutilus rutilus,541,1.1089032655576094
Scardinius erythrophthalmus,569,1.0543350908025777
Semotilus atromaculatus,2321,0.2584733591842597
Semotilus corporalis,571,1.0506421482778752
Squalius cephalus,711,0.8437646507266761
Squalius squalus,336,1.7854662698412698
Stegastes acapulcoensis,238,2.520658263305322
Stegastes adustus,125,4.799333333333333
Stegastes arcifrons,140,4.285119047619047
Stegastes diencaeus,113,5.308997050147493
Stegastes leucostictus,326,1.840235173824131
Stegastes marginatus,109,5.503822629969419
Stegastes nigricans,136,4.411151960784314
Stegastes partitus,174,3.4477969348659006
Stegastes planifrons,178,3.370318352059925
Systomus rubripinnis,587,1.0220045428733675
Telestes muticellus,144,4.166087962962963
Tinca tinca,246,2.4386856368563685
