Genus,Count,Weight
Abramis,319,2.9150635935536435
Abudefduf,5547,0.16764111886490218
Acanthaluteres,246,3.780102790014684
Acanthistius,179,5.195001599684985
Acanthochromis,142,6.548628777067693
Acanthoclinus,282,3.2975364763957886
Acanthocybium,98,9.48882945248584
Acanthogobius,178,5.224187001930407
Acanthopagrus,1092,0.8515616175307805
Acanthostracion,648,1.4350390221352043
Acanthurus,7298,0.1274191951690343
Acipenser,300,3.099684287812041
Acrossocheilus,480,1.9373026798825257
Aeoliscus,126,7.3802006852667645
Alburnus,327,2.84374705303857
Allomycterus,435,2.1377133019393386
Alosa,320,2.9059540198237888
Aluterus,658,1.4132299184553379
Amatitlania,140,6.642180616740088
Ambloplites,1661,0.5598466504175872
Amblyeleotris,269,3.4568969752550642
Amblyglyphidodon,605,1.5370335311464667
Amblygobius,305,3.048869791290532
Ameiurus,3282,0.28333494404132004
Amia,796,1.1682227215372014
Ammodytes,271,3.431384820456134
Amphiprion,3583,0.25953259456980526
Anampses,161,5.775809231947902
Anchoa,156,5.960931322715464
Anguilla,3057,0.30418884080589215
Anisotremus,464,2.00410622056813
Anoplarchus,432,2.1525585332028063
Anoplocapros,584,1.5923035725061856
Antennarius,1309,0.7103936488492073
Aphredoderus,331,2.80938152973901
Aplodactylus,282,3.2975364763957886
Aplodinotus,1035,0.8984592138585626
Apodichthys,226,4.114625160812444
Apogon,213,4.365752518045128
Apogonichthyoides,6,154.98421439060206
Apolemichthys,141,6.595072952791577
Aracana,414,2.2461480346464064
Archosargus,593,1.5681370764647762
Argyrosomus,278,3.3449830444014834
Ariopsis,908,1.0241247646956082
Arothron,3296,0.28213145823531927
Arripis,390,2.3843725290861855
Artedius,123,7.560205580029368
Astronotus,226,4.114625160812444
Atherinops,157,5.922963607284155
Atherinopsis,148,6.283143826646029
Atractosteus,249,3.7345593829060735
Atypichthys,713,1.3042149878592038
Aulostomus,1676,0.554836089703826
Bagre,404,2.3017457582762684
Bairdiella,270,3.44409365312449
Balistapus,483,1.9252697439826343
Balistes,793,1.1726422274194355
Balistoides,901,1.0320813388941312
Barbus,150,6.199368575624082
Bathygobius,175,5.31374449339207
Belone,190,4.894238349176907
Betta,4,232.4763215859031
Bodianus,1245,0.7469118765812147
Bolbometopon,166,5.601839074359111
Boleophthalmus,323,2.8789637348099455
