Specie,Count,Weight
Abramis brama,319,1.3234388714733543
Abudefduf abdominalis,221,1.9103031674208144
Abudefduf bengalensis,323,1.307049535603715
Abudefduf saxatilis,1692,0.24951359338061466
Abudefduf septemfasciatus,149,2.8334026845637585
Abudefduf sexfasciatus,777,0.5433423423423424
Abudefduf sordidus,571,0.7393642732049037
Abudefduf troschelii,559,0.7552361359570662
Abudefduf vaigiensis,1255,0.33639601593625496
Acanthaluteres vittiger,246,1.7161666666666666
Acanthistius ocellatus,179,2.3585307262569835
Acanthochromis polyacanthus,142,2.9730774647887324
Acanthoclinus fuscus,282,1.497081560283688
Acanthocybium solandri,98,4.3079285714285716
Acanthogobius flavimanus,178,2.3717808988764046
Acanthopagrus australis,779,0.5419473684210526
Acanthopagrus butcheri,313,1.348808306709265
Acanthostracion polygonius,275,1.5351890909090908
Acanthostracion quadricornis,373,1.1318418230563003
Acanthurus achilles,133,3.1742631578947367
Acanthurus blochii,181,2.3324696132596685
Acanthurus chirurgus,312,1.3531314102564103
Acanthurus coeruleus,1267,0.3332099447513812
Acanthurus dussumieri,333,1.2677987987987989
Acanthurus guttatus,143,2.952286713286713
Acanthurus leucopareius,189,2.233740740740741
Acanthurus leucosternon,224,1.88471875
Acanthurus lineatus,552,0.7648134057971014
Acanthurus mata,170,2.483394117647059
Acanthurus nigricans,308,1.3707045454545455
Acanthurus nigricauda,135,3.127237037037037
Acanthurus nigrofuscus,522,0.8087681992337165
Acanthurus olivaceus,569,0.74196309314587
Acanthurus pyroferus,172,2.454517441860465
Acanthurus tractus,339,1.2453598820058998
Acanthurus triostegus,1341,0.31482252050708426
Acanthurus xanthopterus,408,1.0347475490196079
Acipenser fulvescens,145,2.9115655172413795
Acipenser transmontanus,155,2.7237225806451613
Acrossocheilus paradoxus,480,0.8795354166666667
Aeoliscus strigatus,126,3.350611111111111
Alburnus alburnus,288,1.4658923611111112
Alburnus arborella,39,10.825051282051282
Allomycterus pilatus,435,0.9705218390804597
Alosa pseudoharengus,222,1.9016981981981982
Alosa sapidissima,98,4.3079285714285716
Aluterus scriptus,658,0.6416063829787234
Amatitlania nigrofasciata,140,3.01555
Ambloplites rupestris,1661,0.2541703792895846
Amblyeleotris guttata,120,3.5181416666666667
Amblyeleotris gymnocephala,36,11.72713888888889
Amblyeleotris steinitzi,113,3.736079646017699
Amblyglyphidodon aureus,225,1.8763422222222221
Amblyglyphidodon curacao,271,1.557848708487085
Amblyglyphidodon leucogaster,109,3.873183486238532
Amblygobius phalaena,305,1.3841868852459016
Ameiurus catus,185,2.2820378378378376
Ameiurus melas,895,0.47170614525139665
Ameiurus natalis,1104,0.3824067028985507
Ameiurus nebulosus,1098,0.3844963570127505
Amia calva,796,0.5303731155778895
Ammodytes personatus,271,1.557848708487085
Amphiprion bicinctus,281,1.5024092526690391
Amphiprion chrysopterus,241,1.7517717842323652
Amphiprion clarkii,1240,0.34046532258064516
Amphiprion frenatus,220,1.9189863636363635
Amphiprion melanopus,324,1.3030154320987655
Amphiprion ocellaris,555,0.7606792792792793
Amphiprion percula,120,3.5181416666666667
Amphiprion perideraion,459,0.9197755991285403
Amphiprion polymnus,143,2.952286713286713
Anampses caeruleopunctatus,161,2.6222173913043476
Anchoa mitchilli,156,2.7062628205128205
Anguilla anguilla,462,0.9138030303030303
Anguilla australis,456,0.925826754385965
Anguilla dieffenbachii,631,0.6690602218700475
Anguilla reinhardtii,406,1.0398448275862069
Anguilla rostrata,1102,0.3831007259528131
Anisotremus virginicus,464,0.909864224137931
Anoplarchus purpurescens,432,0.9772615740740741
Anoplocapros inermis,584,0.7229058219178082
Antennarius commerson,376,1.1228111702127659
Antennarius maculatus,180,2.3454277777777777
Antennarius pictus,299,1.4119632107023412
Antennarius striatus,454,0.9299052863436124
Aphredoderus sayanus,331,1.2754592145015107
Aplodactylus lophodon,282,1.497081560283688
Aplodinotus grunniens,1035,0.40790048309178745
Apodichthys flavidus,226,1.8680398230088495
Apogon imberbis,213,1.9820516431924882
Apogonichthyoides sialis,6,70.36283333333333
Apolemichthys trimaculatus,141,2.994163120567376
Aracana aurita,238,1.7738529411764705
Aracana ornata,176,2.3987329545454545
Archosargus probatocephalus,593,0.7119342327150084
Argyrosomus japonicus,278,1.5186223021582734
Ariopsis felis,908,0.4649526431718062
Arothron hispidus,1065,0.3964103286384977
Arothron manilensis,202,2.0899851485148515
Arothron mappa,251,1.681980079681275
Arothron meleagris,738,0.5720555555555555
Arothron nigropunctatus,706,0.5979844192634561
Arothron stellatus,334,1.2640029940119761
Arripis trutta,390,1.0825051282051281
Artedius harringtoni,123,3.4323333333333332
Astronotus ocellatus,226,1.8680398230088495
Atherinops affinis,157,2.6890254777070064
Atherinopsis californiensis,148,2.8525472972972974
Atractosteus spatula,249,1.6954899598393574
Atypichthys strigatus,713,0.5921136044880786
Aulostomus chinensis,977,0.43211566018423747
Aulostomus maculatus,699,0.6039728183118741
Bagre marinus,404,1.0449925742574258
Bairdiella chrysoura,270,1.5636185185185185
Balistapus undulatus,483,0.874072463768116
Balistes capriscus,339,1.2453598820058998
Balistes polylepis,277,1.5241046931407942
Balistes vetula,177,2.385180790960452
Balistoides conspicillum,305,1.3841868852459016
Balistoides viridescens,596,0.7083506711409396
Barbus barbus,119,3.547705882352941
Barbus plebejus,31,13.618612903225806
Bathygobius krefftii,175,2.41244
Belone belone,190,2.221984210526316
Betta splendens,4,105.54425
Bodianus axillaris,139,3.037244604316547
Bodianus dictynna,127,3.324228346456693
Bodianus diplotaenia,518,0.8150135135135135
Bodianus mesothorax,120,3.5181416666666667
Bodianus rufus,341,1.2380557184750733
Bolbometopon muricatum,166,2.5432349397590364
Boleophthalmus pectinirostris,323,1.307049535603715
Boops boops,165,2.5586484848484847
Bothus lunatus,340,1.2416970588235294
Bothus mancus,145,2.9115655172413795
Bothus pantherinus,122,3.4604672131147542
Bothus podas,264,1.599155303030303
Brachaluteres jacksonianus,1016,0.4155285433070866
Brevoortia patronus,89,4.743561797752809
Brevoortia tyrannus,479,0.8813716075156576
Bryaninops yongei,90,4.690855555555555
Caesio caerulaurea,184,2.2944402173913043
Caesio cuning,165,2.5586484848484847
Caesio teres,141,2.994163120567376
Caffrogobius nudiceps,130,3.247515384615385
Calotomus carolinus,150,2.814513333333333
Campostoma anomalum,800,0.52772125
Candidia barbata,133,3.1742631578947367
Cantherhines dumerilii,278,1.5186223021582734
Cantherhines macrocerus,310,1.3618612903225806
Cantherhines pullus,167,2.5280059880239523
Canthigaster bennetti,125,3.377416
Canthigaster callisterna,248,1.7023266129032257
Canthigaster jactator,352,1.1993664772727273
Canthigaster papua,123,3.4323333333333332
Canthigaster rostrata,331,1.2754592145015107
Canthigaster valentini,541,0.7803641404805916
Carangoides bartholomaei,147,2.871952380952381
Caranx crysos,282,1.497081560283688
Caranx hippos,447,0.9444675615212528
Caranx ignobilis,265,1.5931207547169812
Caranx latus,294,1.4359761904761905
Caranx melampygus,684,0.61721783625731
Caranx ruber,491,0.8598309572301426
Caranx sexfasciatus,523,0.8072217973231357
Carassius auratus,1509,0.27977269715043074
Carassius gibelio,311,1.3574823151125401
Catostomus commersonii,1518,0.2781139657444005
Catostomus occidentalis,99,4.264414141414141
Cebidichthys violaceus,200,2.110885
Centrarchus macropterus,301,1.4025813953488373
Centropogon australis,389,1.0852879177377892
Centropomus undecimalis,418,1.0099928229665072
Centropristis striata,440,0.9594931818181818
Centropyge bicolor,212,1.9914009433962263
Centropyge bispinosa,121,3.4890661157024794
Cephalopholis argus,562,0.7512046263345196
Cephalopholis boenak,94,4.4912446808510635
Cephalopholis cruentata,238,1.7738529411764705
Cephalopholis cyanostigma,120,3.5181416666666667
Cephalopholis fulva,210,2.0103666666666666
Cephalopholis miniata,449,0.9402605790645879
Cephalopholis urodeta,119,3.547705882352941
Cetoscarus ocellatus,261,1.617536398467433
Chaetodipterus faber,448,0.942359375
Chaetodon adiergastos,127,3.324228346456693
Chaetodon auriga,1244,0.33937057877813503
Chaetodon auripes,50,8.44354
Chaetodon baronessa,253,1.6686837944664032
Chaetodon bennetti,124,3.4046532258064515
Chaetodon capistratus,567,0.7445802469135803
Chaetodon citrinellus,375,1.1258053333333333
Chaetodon ephippium,336,1.2564791666666666
Chaetodon flavirostris,226,1.8680398230088495
Chaetodon guentheri,192,2.1988385416666665
Chaetodon humeralis,253,1.6686837944664032
Chaetodon kleinii,502,0.8409900398406375
Chaetodon lineolatus,258,1.63634496124031
Chaetodon lunula,776,0.5440425257731959
Chaetodon lunulatus,514,0.8213560311284047
Chaetodon melannotus,361,1.1694653739612189
Chaetodon meyeri,172,2.454517441860465
Chaetodon multicinctus,117,3.608350427350427
Chaetodon ocellatus,330,1.2793242424242424
Chaetodon octofasciatus,164,2.57425
Chaetodon ornatissimus,541,0.7803641404805916
Chaetodon plebeius,191,2.210350785340314
Chaetodon quadrimaculatus,336,1.2564791666666666
Chaetodon rafflesii,182,2.3196538461538463
Chaetodon semilarvatus,137,3.0815839416058393
Chaetodon speculum,167,2.5280059880239523
Chaetodon striatus,418,1.0099928229665072
Chaetodon trifascialis,388,1.0880850515463918
Chaetodon trifasciatus,234,1.8041752136752136
Chaetodon ulietensis,247,1.7092186234817814
Chaetodon unimaculatus,431,0.9795290023201856
Chaetodon vagabundus,466,0.9059592274678112
Chaetodon wiebeli,54,7.818092592592593
Channa argus,341,1.2380557184750733
Channa striata,333,1.2677987987987989
Cheilinus chlorourus,263,1.605235741444867
Cheilinus fasciatus,245,1.7231714285714286
