Order,Family,Subfamily,Genus,Specie,Observations,url
Salmoniformes,Salmonidae,Salmoninae,Oncorhynchus,Oncorhynchus mykiss,4199,https://www.inaturalist.org/taxa/47516-Oncorhynchus-mykiss
Salmoniformes,Salmonidae,Salmoninae,Salmo,Salmo trutta,2856,https://www.inaturalist.org/taxa/47518-Salmo-trutta
Salmoniformes,Salmonidae,Salmoninae,Salvelinus,Salvelinus fontinalis,2375,https://www.inaturalist.org/taxa/49596-Salvelinus-fontinalis
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon auriga,1099,https://www.inaturalist.org/taxa/52457-Chaetodon-auriga
Salmoniformes,Salmonidae,Salmoninae,Oncorhynchus,Oncorhynchus clarkii,932,https://www.inaturalist.org/taxa/68075-Oncorhynchus-clarkii
Salmoniformes,Salmonidae,Salmoninae,Oncorhynchus,Oncorhynchus tshawytscha,888,https://www.inaturalist.org/taxa/54191-Oncorhynchus-tshawytscha
Perciformes,Labridae,Corinae,Thalassoma,Thalassoma bifasciatum,839,https://www.inaturalist.org/taxa/49491-Thalassoma-bifasciatum
Perciformes,Labridae,Corinae,Thalassoma,Thalassoma lunare,791,https://www.inaturalist.org/taxa/113980-Thalassoma-lunare
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon lunula,698,https://www.inaturalist.org/taxa/47316-Chaetodon-lunula
Salmoniformes,Salmonidae,Salmoninae,Oncorhynchus,Oncorhynchus kisutch,663,https://www.inaturalist.org/taxa/53692-Oncorhynchus-kisutch
Perciformes,Labridae,Corinae,Thalassoma,Thalassoma pavo,598,https://www.inaturalist.org/taxa/50972-Thalassoma-pavo
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon capistratus,519,https://www.inaturalist.org/taxa/52956-Chaetodon-capistratus
Salmoniformes,Salmonidae,Salmoninae,Oncorhynchus,Oncorhynchus nerka,516,https://www.inaturalist.org/taxa/69922-Oncorhynchus-nerka
Perciformes,Chaetodontidae,,Forcipiger,Forcipiger flavissimus,510,https://www.inaturalist.org/taxa/100990-Forcipiger-flavissimus
Perciformes,Labridae,Corinae,Coris,Coris julis,499,https://www.inaturalist.org/taxa/50968-Coris-julis
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon ornatissimus,486,https://www.inaturalist.org/taxa/52454-Chaetodon-ornatissimus
Perciformes,Labridae,Corinae,Thalassoma,Thalassoma lucasanum,481,https://www.inaturalist.org/taxa/49493-Thalassoma-lucasanum
Perciformes,Labridae,Corinae,Halichoeres,Halichoeres hortulanus,466,https://www.inaturalist.org/taxa/102045-Halichoeres-hortulanus
Perciformes,Labridae,Corinae,Halichoeres,Halichoeres bivittatus,461,https://www.inaturalist.org/taxa/49272-Halichoeres-bivittatus
Perciformes,Labridae,Corinae,Coris,Coris gaimard,460,https://www.inaturalist.org/taxa/52323-Coris-gaimard
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon kleinii,443,https://www.inaturalist.org/taxa/97167-Chaetodon-kleinii
Perciformes,Labridae,Corinae,Thalassoma,Thalassoma hardwicke,439,https://www.inaturalist.org/taxa/67963-Thalassoma-hardwicke
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon lunulatus,431,https://www.inaturalist.org/taxa/48743-Chaetodon-lunulatus
Perciformes,Labridae,Bodianinae,Bodianus,Bodianus diplotaenia,408,https://www.inaturalist.org/taxa/57333-Bodianus-diplotaenia
Perciformes,Labridae,Corinae,Thalassoma,Thalassoma duperrey,403,https://www.inaturalist.org/taxa/113973-Thalassoma-duperrey
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon vagabundus,395,https://www.inaturalist.org/taxa/48747-Chaetodon-vagabundus
Perciformes,Labridae,Cheilininae,Cheilinus,Cheilinus undulatus,393,https://www.inaturalist.org/taxa/82355-Cheilinus-undulatus
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon unimaculatus,379,https://www.inaturalist.org/taxa/97209-Chaetodon-unimaculatus
Salmoniformes,Salmonidae,Salmoninae,Oncorhynchus,Oncorhynchus keta,362,https://www.inaturalist.org/taxa/107572-Oncorhynchus-keta
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon striatus,352,https://www.inaturalist.org/taxa/97202-Chaetodon-striatus
Perciformes,Labridae,Corinae,Stethojulis,Stethojulis interrupta,349,https://www.inaturalist.org/taxa/113203-Stethojulis-interrupta
Perciformes,Chaetodontidae,,Heniochus,Heniochus acuminatus,345,https://www.inaturalist.org/taxa/102631-Heniochus-acuminatus
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon trifascialis,336,https://www.inaturalist.org/taxa/97207-Chaetodon-trifascialis
Perciformes,Labridae,Corinae,Hemigymnus,Hemigymnus melapterus,335,https://www.inaturalist.org/taxa/102580-Hemigymnus-melapterus
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon melannotus,327,https://www.inaturalist.org/taxa/97174-Chaetodon-melannotus
Perciformes,Labridae,Corinae,Halichoeres,Halichoeres garnoti,324,https://www.inaturalist.org/taxa/49946-Halichoeres-garnoti
Perciformes,Labridae,Cheilininae,Novaculichthys,Novaculichthys taeniourus,315,https://www.inaturalist.org/taxa/63597-Novaculichthys-taeniourus
Salmoniformes,Salmonidae,Salmoninae,Salvelinus,Salvelinus namaycush,312,https://www.inaturalist.org/taxa/111991-Salvelinus-namaycush
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon citrinellus,311,https://www.inaturalist.org/taxa/97150-Chaetodon-citrinellus
Perciformes,Labridae,Bodianinae,Bodianus,Bodianus rufus,303,https://www.inaturalist.org/taxa/49428-Bodianus-rufus
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon ocellatus,302,https://www.inaturalist.org/taxa/49273-Chaetodon-ocellatus
Salmoniformes,Salmonidae,Salmoninae,Oncorhynchus,Oncorhynchus gorbuscha,297,https://www.inaturalist.org/taxa/107570-Oncorhynchus-gorbuscha
Perciformes,Labridae,Cheilininae,Epibulus,Epibulus insidiator,290,https://www.inaturalist.org/taxa/100036-Epibulus-insidiator
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon ephippium,289,https://www.inaturalist.org/taxa/97157-Chaetodon-ephippium
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon quadrimaculatus,281,https://www.inaturalist.org/taxa/97192-Chaetodon-quadrimaculatus
Perciformes,Labridae,Corinae,Thalassoma,Thalassoma trilobatum,275,https://www.inaturalist.org/taxa/113990-Thalassoma-trilobatum
Perciformes,Labridae,Corinae,Coris,Coris aygula,273,https://www.inaturalist.org/taxa/98501-Coris-aygula
Perciformes,Chaetodontidae,,Heniochus,Heniochus diphreutes,263,https://www.inaturalist.org/taxa/102633-Heniochus-diphreutes
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon lineolatus,259,https://www.inaturalist.org/taxa/97170-Chaetodon-lineolatus
Perciformes,Labridae,Corinae,Thalassoma,Thalassoma lutescens,258,https://www.inaturalist.org/taxa/113981-Thalassoma-lutescens
Perciformes,Labridae,Corinae,Halichoeres,Halichoeres nigrescens,245,https://www.inaturalist.org/taxa/102064-Halichoeres-nigrescens
Perciformes,Labridae,Cheilininae,Oxycheilinus,Oxycheilinus digramma,231,https://www.inaturalist.org/taxa/108076-Oxycheilinus-digramma
Perciformes,Chaetodontidae,,Johnrandallia,Johnrandallia nigrirostris,226,https://www.inaturalist.org/taxa/85124-Johnrandallia-nigrirostris
Salmoniformes,Salmonidae,Salmoninae,Salmo,Salmo salar,226,https://www.inaturalist.org/taxa/48648-Salmo-salar
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon baronessa,226,https://www.inaturalist.org/taxa/97146-Chaetodon-baronessa
Perciformes,Labridae,Corinae,Halichoeres,Halichoeres radiatus,224,https://www.inaturalist.org/taxa/49942-Halichoeres-radiatus
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon ulietensis,222,https://www.inaturalist.org/taxa/97208-Chaetodon-ulietensis
Perciformes,Labridae,Corinae,Thalassoma,Thalassoma amblycephalum,214,https://www.inaturalist.org/taxa/49492-Thalassoma-amblycephalum
Perciformes,Chaetodontidae,,Hemitaurichthys,Hemitaurichthys polylepis,211,https://www.inaturalist.org/taxa/102618-Hemitaurichthys-polylepis
Perciformes,Labridae,Corinae,Coris,Coris picta,211,https://www.inaturalist.org/taxa/98515-Coris-picta
Perciformes,Chaetodontidae,,Heniochus,Heniochus chrysostomus,209,https://www.inaturalist.org/taxa/102632-Heniochus-chrysostomus
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon speculum,209,https://www.inaturalist.org/taxa/97201-Chaetodon-speculum
Perciformes,Labridae,Cheilininae,Cheilinus,Cheilinus fasciatus,208,https://www.inaturalist.org/taxa/97308-Cheilinus-fasciatus
Perciformes,Chaetodontidae,,Chelmonops,Chelmonops truncatus,208,https://www.inaturalist.org/taxa/97342-Chelmonops-truncatus
Perciformes,Labridae,Cheilininae,Cheilinus,Cheilinus chlorourus,206,https://www.inaturalist.org/taxa/97307-Cheilinus-chlorourus
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon humeralis,200,https://www.inaturalist.org/taxa/55534-Chaetodon-humeralis
Perciformes,Chaetodontidae,,Chelmonops,Chelmonops curiosus,199,https://www.inaturalist.org/taxa/97341-Chelmonops-curiosus
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon octofasciatus,190,https://www.inaturalist.org/taxa/97185-Chaetodon-octofasciatus
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon trifasciatus,189,https://www.inaturalist.org/taxa/48744-Chaetodon-trifasciatus
Perciformes,Labridae,Corinae,Cheilio,Cheilio inermis,182,https://www.inaturalist.org/taxa/97312-Cheilio-inermis
Perciformes,Chaetodontidae,,Chelmon,Chelmon rostratus,182,https://www.inaturalist.org/taxa/97340-Chelmon-rostratus
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon flavirostris,180,https://www.inaturalist.org/taxa/97160-Chaetodon-flavirostris
Perciformes,Labridae,Corinae,Halichoeres,Halichoeres trimaculatus,180,https://www.inaturalist.org/taxa/102088-Halichoeres-trimaculatus
Perciformes,Labridae,Corinae,Hemigymnus,Hemigymnus fasciatus,180,https://www.inaturalist.org/taxa/102579-Hemigymnus-fasciatus
Perciformes,Labridae,Cheilininae,Cheilinus,Cheilinus trilobatus,179,https://www.inaturalist.org/taxa/97311-Cheilinus-trilobatus
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon auripes,177,https://www.inaturalist.org/taxa/97144-Chaetodon-auripes
Perciformes,Chaetodontidae,,Heniochus,Heniochus varius,176,https://www.inaturalist.org/taxa/102638-Heniochus-varius
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon rafflesii,175,https://www.inaturalist.org/taxa/97193-Chaetodon-rafflesii
Perciformes,Labridae,Cheilininae,Oxycheilinus,Oxycheilinus bimaculatus,169,https://www.inaturalist.org/taxa/108074-Oxycheilinus-bimaculatus
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon plebeius,162,https://www.inaturalist.org/taxa/97190-Chaetodon-plebeius
Perciformes,Labridae,Corinae,Stethojulis,Stethojulis bandanensis,160,https://www.inaturalist.org/taxa/113202-Stethojulis-bandanensis
Perciformes,Labridae,Corinae,Macropharyngodon,Macropharyngodon meleagris,159,https://www.inaturalist.org/taxa/81498-Macropharyngodon-meleagris
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon meyeri,157,https://www.inaturalist.org/taxa/97178-Chaetodon-meyeri
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon guentheri,157,https://www.inaturalist.org/taxa/97164-Chaetodon-guentheri
Perciformes,Chaetodontidae,,Heniochus,Heniochus monoceros,156,https://www.inaturalist.org/taxa/102635-Heniochus-monoceros
Perciformes,Labridae,Corinae,Halichoeres,Halichoeres scapularis,143,https://www.inaturalist.org/taxa/102080-Halichoeres-scapularis
Perciformes,Labridae,Xyrichtyinae,Iniistius,Iniistius pavo,141,https://www.inaturalist.org/taxa/103436-Iniistius-pavo
Perciformes,Labridae,Corinae,Halichoeres,Halichoeres nicholsi,139,https://www.inaturalist.org/taxa/56919-Halichoeres-nicholsi
Perciformes,Chaetodontidae,,Heniochus,Heniochus intermedius,137,https://www.inaturalist.org/taxa/102634-Heniochus-intermedius
Perciformes,Labridae,Bodianinae,Bodianus,Bodianus axillaris,129,https://www.inaturalist.org/taxa/95813-Bodianus-axillaris
Salmoniformes,Salmonidae,Thymallinae,Thymallus,Thymallus thymallus,127,https://www.inaturalist.org/taxa/114127-Thymallus-thymallus
Perciformes,Labridae,Corinae,Anampses,Anampses caeruleopunctatus,126,https://www.inaturalist.org/taxa/94016-Anampses-caeruleopunctatus
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon wiebeli,126,https://www.inaturalist.org/taxa/97210-Chaetodon-wiebeli
Perciformes,Labridae,Corinae,Coris,Coris batuensis,125,https://www.inaturalist.org/taxa/98503-Coris-batuensis
Perciformes,Labridae,Bodianinae,Bodianus,Bodianus dictynna,123,https://www.inaturalist.org/taxa/95820-Bodianus-dictynna
Perciformes,Labridae,Corinae,Coris,Coris sandeyeri,123,https://www.inaturalist.org/taxa/98518-Coris-sandeyeri
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon semilarvatus,121,https://www.inaturalist.org/taxa/97199-Chaetodon-semilarvatus
Salmoniformes,Salmonidae,Salmoninae,Salmo,Salmo marmoratus,121,https://www.inaturalist.org/taxa/111946-Salmo-marmoratus
