Order,Family,Subfamily,Genus,Specie,Observations,url
Perciformes,Centrarchidae,,Lepomis,Lepomis macrochirus,9088.0,https://www.inaturalist.org/taxa/49591-Lepomis-macrochirus
Perciformes,Centrarchidae,,Micropterus,Micropterus salmoides,8596.0,https://www.inaturalist.org/taxa/49587-Micropterus-salmoides
Cypriniformes,Cyprinidae,Cyprininae,Cyprinus,Cyprinus carpio,5295.0,https://www.inaturalist.org/taxa/53911-Cyprinus-carpio
Cypriniformes,Cyprinidae,Cyprininae,Cyprinus,Cyprinus rubrofuscus,3507.0,https://www.inaturalist.org/taxa/187316-Cyprinus-rubrofuscus
Perciformes,Centrarchidae,,Lepomis,Lepomis cyanellus,3368.0,https://www.inaturalist.org/taxa/58636-Lepomis-cyanellus
Cypriniformes,Cyprinidae,Cyprininae,Carassius,Carassius auratus,3023.0,https://www.inaturalist.org/taxa/58612-Carassius-auratus
Perciformes,Centrarchidae,,Lepomis,Lepomis gibbosus,2951.0,https://www.inaturalist.org/taxa/49614-Lepomis-gibbosus
Perciformes,Centrarchidae,,Micropterus,Micropterus dolomieu,2923.0,https://www.inaturalist.org/taxa/49590-Micropterus-dolomieu
Cypriniformes,Cyprinidae,Leuciscinae,Semotilus,Semotilus atromaculatus,2115.0,https://www.inaturalist.org/taxa/58662-Semotilus-atromaculatus
Perciformes,Centrarchidae,,Lepomis,Lepomis megalotis,2045.0,https://www.inaturalist.org/taxa/58635-Lepomis-megalotis
Perciformes,Centrarchidae,,Lepomis,Lepomis auritus,1623.0,https://www.inaturalist.org/taxa/85365-Lepomis-auritus
Perciformes,Centrarchidae,,Pomoxis,Pomoxis nigromaculatus,1519.0,https://www.inaturalist.org/taxa/49594-Pomoxis-nigromaculatus
Perciformes,Centrarchidae,,Ambloplites,Ambloplites rupestris,1474.0,https://www.inaturalist.org/taxa/58637-Ambloplites-rupestris
Perciformes,Pomacentridae,Pomacentrinae,Abudefduf,Abudefduf saxatilis,1319.0,https://www.inaturalist.org/taxa/49402-Abudefduf-saxatilis
Perciformes,Pomacentridae,Pomacentrinae,Abudefduf,Abudefduf vaigiensis,1053.0,https://www.inaturalist.org/taxa/49403-Abudefduf-vaigiensis
Perciformes,Pomacentridae,Amphiprioninae,Amphiprion,Amphiprion clarkii,1041.0,https://www.inaturalist.org/taxa/136345-Amphiprion-clarkii
Perciformes,Centrarchidae,,Lepomis,Lepomis gulosus,923.0,https://www.inaturalist.org/taxa/104252-Lepomis-gulosus
Perciformes,Centrarchidae,,Lepomis,Lepomis microlophus,898.0,https://www.inaturalist.org/taxa/85127-Lepomis-microlophus
Cypriniformes,Cyprinidae,Leuciscinae,Notemigonus,Notemigonus crysoleucas,897.0,https://www.inaturalist.org/taxa/51351-Notemigonus-crysoleucas
Cypriniformes,Cyprinidae,Leuciscinae,Rhinichthys,Rhinichthys atratulus,874.0,https://www.inaturalist.org/taxa/58664-Rhinichthys-atratulus
Cypriniformes,Cyprinidae,Leuciscinae,Luxilus,Luxilus cornutus,726.0,https://www.inaturalist.org/taxa/58618-Luxilus-cornutus
Perciformes,Pomacentridae,Amphiprioninae,Amphiprion,Amphiprion ocellaris,698.0,https://www.inaturalist.org/taxa/132688-Amphiprion-ocellaris
Cypriniformes,Cyprinidae,Leuciscinae,Squalius,Squalius cephalus,691.0,https://www.inaturalist.org/taxa/113003-Squalius-cephalus
