Order,Family,Subfamily,Genus,Specie,Observations,url
Perciformes,Centrarchidae,,Lepomis,Lepomis macrochirus,9119,https://www.inaturalist.org/taxa/49591-Lepomis-macrochirus
Perciformes,Centrarchidae,,Micropterus,Micropterus salmoides,8615,https://www.inaturalist.org/taxa/49587-Micropterus-salmoides
Cypriniformes,Cyprinidae,Cyprininae,Cyprinus,Cyprinus carpio,5299,https://www.inaturalist.org/taxa/53911-Cyprinus-carpio
Salmoniformes,Salmonidae,Salmoninae,Oncorhynchus,Oncorhynchus mykiss,4199,https://www.inaturalist.org/taxa/47516-Oncorhynchus-mykiss
Cypriniformes,Cyprinidae,Cyprininae,Cyprinus,Cyprinus rubrofuscus,3511,https://www.inaturalist.org/taxa/187316-Cyprinus-rubrofuscus
Perciformes,Centrarchidae,,Lepomis,Lepomis cyanellus,3375,https://www.inaturalist.org/taxa/58636-Lepomis-cyanellus
Cypriniformes,Cyprinidae,Cyprininae,Carassius,Carassius auratus,3033,https://www.inaturalist.org/taxa/58612-Carassius-auratus
Perciformes,Centrarchidae,,Lepomis,Lepomis gibbosus,2969,https://www.inaturalist.org/taxa/49614-Lepomis-gibbosus
Perciformes,Centrarchidae,,Micropterus,Micropterus dolomieu,2933,https://www.inaturalist.org/taxa/49590-Micropterus-dolomieu
Salmoniformes,Salmonidae,Salmoninae,Salmo,Salmo trutta,2856,https://www.inaturalist.org/taxa/47518-Salmo-trutta
Salmoniformes,Salmonidae,Salmoninae,Salvelinus,Salvelinus fontinalis,2375,https://www.inaturalist.org/taxa/49596-Salvelinus-fontinalis
Cypriniformes,Cyprinidae,Leuciscinae,Semotilus,Semotilus atromaculatus,2118,https://www.inaturalist.org/taxa/58662-Semotilus-atromaculatus
Perciformes,Centrarchidae,,Lepomis,Lepomis megalotis,2045,https://www.inaturalist.org/taxa/58635-Lepomis-megalotis
Perciformes,Centrarchidae,,Lepomis,Lepomis auritus,1628,https://www.inaturalist.org/taxa/85365-Lepomis-auritus
Perciformes,Centrarchidae,,Pomoxis,Pomoxis nigromaculatus,1521,https://www.inaturalist.org/taxa/49594-Pomoxis-nigromaculatus
Perciformes,Centrarchidae,,Ambloplites,Ambloplites rupestris,1475,https://www.inaturalist.org/taxa/58637-Ambloplites-rupestris
Perciformes,Pomacentridae,Pomacentrinae,Abudefduf,Abudefduf saxatilis,1320,https://www.inaturalist.org/taxa/49402-Abudefduf-saxatilis
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon auriga,1099,https://www.inaturalist.org/taxa/52457-Chaetodon-auriga
Perciformes,Pomacentridae,Pomacentrinae,Abudefduf,Abudefduf vaigiensis,1057,https://www.inaturalist.org/taxa/49403-Abudefduf-vaigiensis
Perciformes,Pomacentridae,Amphiprioninae,Amphiprion,Amphiprion clarkii,1043,https://www.inaturalist.org/taxa/136345-Amphiprion-clarkii
Salmoniformes,Salmonidae,Salmoninae,Oncorhynchus,Oncorhynchus clarkii,932,https://www.inaturalist.org/taxa/68075-Oncorhynchus-clarkii
Perciformes,Centrarchidae,,Lepomis,Lepomis gulosus,922,https://www.inaturalist.org/taxa/104252-Lepomis-gulosus
Cypriniformes,Cyprinidae,Leuciscinae,Notemigonus,Notemigonus crysoleucas,898,https://www.inaturalist.org/taxa/51351-Notemigonus-crysoleucas
Perciformes,Centrarchidae,,Lepomis,Lepomis microlophus,898,https://www.inaturalist.org/taxa/85127-Lepomis-microlophus
Salmoniformes,Salmonidae,Salmoninae,Oncorhynchus,Oncorhynchus tshawytscha,888,https://www.inaturalist.org/taxa/54191-Oncorhynchus-tshawytscha
Cypriniformes,Cyprinidae,Leuciscinae,Rhinichthys,Rhinichthys atratulus,877,https://www.inaturalist.org/taxa/58664-Rhinichthys-atratulus
Perciformes,Labridae,Corinae,Thalassoma,Thalassoma bifasciatum,839,https://www.inaturalist.org/taxa/49491-Thalassoma-bifasciatum
Perciformes,Labridae,Corinae,Thalassoma,Thalassoma lunare,791,https://www.inaturalist.org/taxa/113980-Thalassoma-lunare
Cypriniformes,Cyprinidae,Leuciscinae,Luxilus,Luxilus cornutus,729,https://www.inaturalist.org/taxa/58618-Luxilus-cornutus
Perciformes,Pomacentridae,Amphiprioninae,Amphiprion,Amphiprion ocellaris,699,https://www.inaturalist.org/taxa/132688-Amphiprion-ocellaris
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon lunula,698,https://www.inaturalist.org/taxa/47316-Chaetodon-lunula
Cypriniformes,Cyprinidae,Leuciscinae,Squalius,Squalius cephalus,693,https://www.inaturalist.org/taxa/113003-Squalius-cephalus
Perciformes,Pomacentridae,Pomacentrinae,Abudefduf,Abudefduf sexfasciatus,689,https://www.inaturalist.org/taxa/49401-Abudefduf-sexfasciatus
Salmoniformes,Salmonidae,Salmoninae,Oncorhynchus,Oncorhynchus kisutch,663,https://www.inaturalist.org/taxa/53692-Oncorhynchus-kisutch
Perciformes,Pomacentridae,Pomacentrinae,Dascyllus,Dascyllus trimaculatus,662,https://www.inaturalist.org/taxa/49303-Dascyllus-trimaculatus
Perciformes,Pomacentridae,Pomacentrinae,Hypsypops,Hypsypops rubicundus,636,https://www.inaturalist.org/taxa/53693-Hypsypops-rubicundus
Cypriniformes,Cyprinidae,Leuciscinae,Scardinius,Scardinius erythrophthalmus,629,https://www.inaturalist.org/taxa/112118-Scardinius-erythrophthalmus
Cypriniformes,Cyprinidae,Leuciscinae,Campostoma,Campostoma anomalum,607,https://www.inaturalist.org/taxa/96631-Campostoma-anomalum
Perciformes,Pomacentridae,Pomacentrinae,Parma,Parma microlepis,606,https://www.inaturalist.org/taxa/511647-Parma-microlepis
Perciformes,Centrarchidae,,Pomoxis,Pomoxis annularis,600,https://www.inaturalist.org/taxa/49593-Pomoxis-annularis
Cypriniformes,Cyprinidae,Leuciscinae,Pimephales,Pimephales notatus,599,https://www.inaturalist.org/taxa/58624-Pimephales-notatus
Perciformes,Labridae,Corinae,Thalassoma,Thalassoma pavo,598,https://www.inaturalist.org/taxa/50972-Thalassoma-pavo
Cypriniformes,Cyprinidae,Leuciscinae,Pimephales,Pimephales promelas,553,https://www.inaturalist.org/taxa/109536-Pimephales-promelas
Cypriniformes,Cyprinidae,Leuciscinae,Rutilus,Rutilus rutilus,526,https://www.inaturalist.org/taxa/69989-Rutilus-rutilus
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon capistratus,519,https://www.inaturalist.org/taxa/52956-Chaetodon-capistratus
Salmoniformes,Salmonidae,Salmoninae,Oncorhynchus,Oncorhynchus nerka,516,https://www.inaturalist.org/taxa/69922-Oncorhynchus-nerka
