Order,Family,Subfamily,Genus,Specie,Observations,url
Acipenseriformes,Acipenseridae,Acipenserinae,Acipenser,Acipenser baerii,4,https://www.inaturalist.org/taxa/93179-Acipenser-baerii
Acipenseriformes,Acipenseridae,Acipenserinae,Acipenser,Acipenser brevirostrum,11,https://www.inaturalist.org/taxa/49823-Acipenser-brevirostrum
Acipenseriformes,Acipenseridae,Acipenserinae,Acipenser,Acipenser dabryanus,0,https://www.inaturalist.org/taxa/93180-Acipenser-dabryanus
Acipenseriformes,Acipenseridae,Acipenserinae,Acipenser,Acipenser fulvescens,380,https://www.inaturalist.org/taxa/93181-Acipenser-fulvescens
Acipenseriformes,Acipenseridae,Acipenserinae,Acipenser,Acipenser gueldenstaedtii,7,https://www.inaturalist.org/taxa/93182-Acipenser-gueldenstaedtii
Acipenseriformes,Acipenseridae,Acipenserinae,Acipenser,Acipenser medirostris,7,https://www.inaturalist.org/taxa/93183-Acipenser-medirostris
Acipenseriformes,Acipenseridae,Acipenserinae,Acipenser,Acipenser mikadoi,0,https://www.inaturalist.org/taxa/93184-Acipenser-mikadoi
Acipenseriformes,Acipenseridae,Acipenserinae,Acipenser,Acipenser naccarii,7,https://www.inaturalist.org/taxa/93185-Acipenser-naccarii
Acipenseriformes,Acipenseridae,Acipenserinae,Acipenser,Acipenser nudiventris,1,https://www.inaturalist.org/taxa/93186-Acipenser-nudiventris
Acipenseriformes,Acipenseridae,Acipenserinae,Acipenser,Acipenser oxyrinchus,58,https://www.inaturalist.org/taxa/93187-Acipenser-oxyrinchus
Acipenseriformes,Acipenseridae,Acipenserinae,Acipenser,Acipenser persicus,0,https://www.inaturalist.org/taxa/93188-Acipenser-persicus
Acipenseriformes,Acipenseridae,Acipenserinae,Acipenser,Acipenser ruthenus,16,https://www.inaturalist.org/taxa/93189-Acipenser-ruthenus
Acipenseriformes,Acipenseridae,Acipenserinae,Acipenser,Acipenser schrenckii,1,https://www.inaturalist.org/taxa/93190-Acipenser-schrenckii
Acipenseriformes,Acipenseridae,Acipenserinae,Acipenser,Acipenser sinensis,2,https://www.inaturalist.org/taxa/93191-Acipenser-sinensis
